EXP_ID,EXP_VAL,shtr_movement_time,zero_to_33_deg_time,FULL_MOVE
5000,100,679.06,209,888.06
5008,200,947.9,209,1156.9
5010,500,1680.64,209,1889.64
5018,700,2271,0,2271
5020,1000,2990.6,209,3199.6
5028,300,1200.57,209,1409.57
5030,400,1441.79,209,1650.79
5038,2000,3287,209,3496
5040,3000,4287,209,4496
5048,10000,11287,209,11496
5050,5000,6287,209,6496
5058,30000,31287,209,31496
5060,6000,7287,209,7496
5068,60000,61287,209,61496
5070,120000,121287,209,121496
5078,180000,181287,209,181496
5080,240000,241287,209,241496
5088,300000,301287,209,301496
5090,600,2029.93,209,2238.93
5098,800,2510.31,209,2719.31
50A0,350,1321.93,209,1530.93
50A8,350,1321.93,209,1530.93
50B0,350,1321.93,209,1530.93
50B8,140,789.58,209,998.58
50C0,172,874.9,209,1083.9
50C8,350,1321.93,209,1530.93
50D0,100,679.06,209,888.06
50D8,165,856.45,209,1065.45
50E0,350,1321.93,209,1530.93
50E8,254,1086.16,209,1295.16
50F0,100,679.06,209,888.06
50F8,700,2271,0,2271
5100,700,2271,0,2271
5108,700,2271,0,2271
5110,279,1147.81,209,1356.81
5118,343,1305.48,209,1514.48
5120,700,2271,0,2271
5128,100,679.06,209,888.06
5130,330,1274.24,209,1483.24
5138,700,2272.16,0,2272.16
5140,507,1697.46,209,1906.46
5148,100,679.06,209,888.06
5150,1050,2337,209,2546
5158,1050,2337,209,2546
5160,1050,2337,209,2546
5168,418,1485.19,209,1694.19
5170,514,1710.05,209,1919.05
5178,1050,2337,209,2546
5180,141,792.26,209,1001.26
5188,495,1668.87,209,1877.87
5190,1050,2337,209,2546
5198,761,2416.46,209,2625.46
51A0,127,754.19,209,963.19
51A8,1400,2687,1,2688
51B0,1400,2687,1,2688
51B8,1400,2687,1,2688
51C0,556,1811,5,1816
51C8,684,2230,4,2234
51D0,1400,2687,1,2688
51D8,188,916,0,916
51E0,660,2169,3,2172
51E8,1400,2687,1,2688
51F0,1014,3010,5,3015
51F8,168,866,0,866
