"EXP_VAL","EXP_ID","REAL_EXP2","ZERO_TO_33","FULL_MOVE"
100,5000,679.06,132.583958333333,811.643958333333
200,5008,947.9,200.965375,1148.865375
500,5010,1680.64,331.162416666666,2011.80241666667
700,5018,2272.16,516.970708333333,2789.13070833333
1000,5020,2990.6,623.023666666666,3613.62366666667
300,5028,1200.57,252.701583333333,1453.27158333333
400,5030,1441.79,294.731291666666,1736.52129166667
2000,5038,3287,584.25,3871.25
3000,5040,4287,584.25,4871.25
10000,5048,11287,584.25,11871.25
5000,5050,6287,584.25,6871.25
30000,5058,31287,584.25,31871.25
6000,5060,7287,584.25,7871.25
60000,5068,61287,584.25,61871.25
120000,5070,121287,584.25,121871.25
180000,5078,181287,584.25,181871.25
240000,5080,241287,584.25,241871.25
300000,5088,301287,584.25,301871.25
600,5090,2029.93,476.347041666666,2506.27704166667
800,5098,2510.31,554.644041666666,3064.95404166667
350,"50A0",1321.93,274.505041666666,1596.43504166667
350,"50A8",1321.93,274.505041666666,1596.43504166667
350,"50B0",1321.93,274.505041666666,1596.43504166667
140,"50B8",789.58,162.820374999999,952.400374999999
172,"50C0",874.9,184.042416666666,1058.94241666667
350,"50C8",1321.93,274.505041666666,1596.43504166667
100,"50D0",679.06,132.583958333333,811.643958333333
165,"50D8",856.45,179.621291666666,1036.07129166667
350,"50E0",1321.93,274.505041666666,1596.43504166667
254,"50E8",1086.16,230.434,1316.594
100,"50F0",679.06,132.583958333333,811.643958333333
700,"50F8",2272.16,516.970708333333,2789.13070833333
700,5100,2272.16,516.970708333333,2789.13070833333
700,5108,2272.16,516.970708333333,2789.13070833333
279,5110,1147.81,242.655874999999,1390.465875
343,5118,1305.48,271.677583333333,1577.15758333333
700,5120,2272.16,516.970708333333,2789.13070833333
100,5128,679.06,132.583958333333,811.643958333333
330,5130,1274.24,266.106375,1540.346375
700,5138,2272.16,516.970708333333,2789.13070833333
507,5140,1697.46,333.573125,2031.033125
100,5148,679.06,132.583958333333,811.643958333333
1050,5150,2337,584.25,2921.25
1050,5158,2337,584.25,2921.25
1050,5160,2337,584.25,2921.25
418,5168,1485.19,301.626375,1786.816375
514,5170,1710.05,335.616166666666,2045.66616666667
1050,5178,2337,584.25,2921.25
141,5180,792.26,163.572291666666,955.832291666666
495,5188,1668.87,329.412166666666,1998.28216666667
1050,5190,2337,584.25,2921.25
761,5198,2416.46,539.9615,2956.4215
127,"51A0",754.19,153.548999999999,907.738999999999
1400,"51A8",2687,584.25,3271.25
1400,"51B0",2687,584.25,3271.25
1400,"51B8",2687,584.25,3271.25
557,"51C0",1811.84,349.545208333333,2161.38520833333
685,"51C8",2230.88,510.696166666666,2741.57616666667
1400,"51D0",2687,584.25,3271.25
188,"51D8",917.12,193.980249999999,1111.10025
660,"51E0",2169.55,500.495208333333,2670.04520833333
1400,"51E8",2687,584.25,3271.25
1014,"51F0",3010.08,625.9385,3636.0185
169,"51F8",867.2,182.237,1049.437
